phone_number,city,restoran_name,area
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,drenova
"set([u'051 453 252', u'099 884 5435', u'385 21 412', u'099 884 54'])",rijeka,Fast Food Tweety,drenova
set([u'0800 25 91']),rijeka,Brum Brum,podmurvice
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,podmurvice
"set([u'051 514 472', u'385 51 514'])",rijeka,Pizzeria Do It,podmurvice
"set([u'051 453 252', u'099 884 5435', u'385 21 412', u'099 884 54'])",rijeka,Fast Food Tweety,pulac
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,pulac
set([u'0800 25 91']),rijeka,Brum Brum,pulac
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,brascine
"set([u'051 453 252', u'099 884 5435', u'385 21 412', u'099 884 54'])",rijeka,Fast Food Tweety,brascine
set([]),rijeka,Fast food Piccolo,delta
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,delta
"set([u'051 514 472', u'385 51 514'])",rijeka,Pizzeria Do It,delta
set([u'0800 25 91']),rijeka,Brum Brum,potok
"set([u'051 514 472', u'385 51 514'])",rijeka,Pizzeria Do It,potok
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,potok
"set([u'051 453 252', u'099 884 5435', u'385 21 412', u'099 884 54'])",rijeka,Fast Food Tweety,potok
set([u'051 459 909']),rijeka,Pizza Place Destino,potok
set([u'051 224 531']),rijeka,Cheers pub,krnjevo
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,krnjevo
"set([u'051 453 252', u'099 884 5435', u'385 21 412', u'099 884 54'])",rijeka,Fast Food Tweety,krnjevo
"set([u'051 514 472', u'385 51 514'])",rijeka,Pizzeria Do It,turnic
set([u'051 333 353']),rijeka,Pizzeria Van Gogh,turnic
set([u'01 3025 888']),zagreb,Mrak Grill,kamenarka
set([u'01 6132 150']),zagreb,Il Mondo,kamenarka
set([u'091 762 5821']),zagreb,Brko i Brko,kamenarka
set([u'01 3890 723']),zagreb,Marinero Grill Prečko,dugave
set([u'01 6637 644']),zagreb,Bistro Mon Ami,kamenarka
set([]),zagreb,Pizzeria Stross,dugave
set([u'01 6199 144']),zagreb,Pizza Slavonija,kamenarka
set([]),zagreb,Pečenjara Tigrić RTL,dugave
"set([u'040 365 177', u'1 55 89', u'01 5589 773'])",zagreb,Pyrus,kamenarka
set([u'01 5560 107']),zagreb,Kebab Maksimir,trnje
set([u'01 4810 850']),zagreb,Catering Milenium,dugave
set([u'01 5560 979']),zagreb,Pizza-Boo,kamenarka
"set([u'01 6387 802', u'385 1 6387'])",zagreb,Bon Appetit Catering,trnje
set([]),zagreb,Ani-Kebab,centar
set([]),zagreb,Kum,dugave
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,kamenarka
set([]),zagreb,Super Kebab,trnje
set([u'01 4616 649']),zagreb,MS Grill,centar
set([u'56 2 2207']),zagreb,Pizzeria Mezzanotte,dugave
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,kamenarka
set([u'095 359 8268']),zagreb,Krpice sa zeljem,mirosevac
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,trnje
set([]),zagreb,Voćarna Ceker,centar
set([u'01 6199 144']),zagreb,Pizza Slavonija,dugave
set([u'56 2 2207']),zagreb,Pizzeria Mezzanotte,kamenarka
set([u'01 5560 107']),zagreb,Kebab Maksimir,mirosevac
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,trnje
set([u'01 4618 052']),zagreb,Fast Food Filip,centar
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,dugave
set([u'01 2452 834']),zagreb,Favola Catering,kamenarka
set([]),zagreb,Family Catering,mirosevac
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,trnje
"set([u'01 4846 922', u'01 4586 089'])",zagreb,Franky's Pizza Bar,centar
set([u'01 5560 979']),zagreb,Pizza-Boo,dugave
set([u'01 4810 850']),zagreb,Catering Milenium,kamenarka
set([]),zagreb,Pizzeria Stross,trnje
set([u'01 6199 144']),zagreb,Pizza Slavonija,centar
set([u'01 3025 888']),zagreb,Mrak Grill,dugave
set([]),zagreb,Pečenjara Tigrić RTL,kamenarka
set([u'01 6132 150']),zagreb,Il Mondo,trnje
"set([u'234 34 34', u'01 2343 434'])",zagreb,Pizzeria Tomato - Bukovac,centar
set([u'01 6132 150']),zagreb,Il Mondo,dugave
set([u'095 359 8268']),zagreb,Krpice sa zeljem,kamenarka
set([u'385 51 324']),zagreb,Wok by Matija,trnje
set([u'385 91 461']),zagreb,Grill Bistro Tomislav,centar
set([u'01 6142 659']),zagreb,Paesano Ristorante Pizzeria,dugave
set([u'61 18 831']),zagreb,Grill House Azzuro,kamenarka
set([u'095 359 8268']),zagreb,Krpice sa zeljem,trnje
set([]),zagreb,Zagy Pizza & Sandwich Bar,centar
set([u'01 5620 335']),zagreb,Kung Food,dugave
set([u'098 777 577']),zagreb,Vege fino za sve,kamenarka
set([u'01 4810 850']),zagreb,Catering Milenium,trnje
"set([u'01 6387 802', u'385 1 6387'])",zagreb,Bon Appetit Catering,centar
set([u'01 6170 864']),zagreb,Pizzeria Strossmayer,dugave
"set([u'01 6182 535', u'61 82 535'])",zagreb,Cydonia,kamenarka
set([]),zagreb,Kum,trnje
"set([u'01 5619 990', u'01 561 99'])",zagreb,Zlatna Bula,centar
"set([u'099 407 3274', u'01 2323 377', u'099 576 0334'])",zagreb,Libertas,dugave
set([u'01 6111 309']),zagreb,Catering Anđeo,kamenarka
